
============================
Hi, looks like you are running TensorFlow.js in Node.js. To speed things up dramatically, install our node backend, visit https://github.com/tensorflow/tfjs-node for more details. 
============================
frames 241 (all contain at least one detected face)

video         t      faces       squash letterbox
NWoT1ZVd1Lo  2      1           0.76/1    0.72/1
NWoT1ZVd1Lo  12     3           0.68/0    0.61/0
NWoT1ZVd1Lo  22     1           0.92/1    0.92/1
NWoT1ZVd1Lo  32     2           0.65/0    0.93/1
NWoT1ZVd1Lo  52     1           0.40/0    0.46/0
NWoT1ZVd1Lo  62     2           0.75/1    0.83/2
NWoT1ZVd1Lo  72     1           0.51/0    0.53/0
NWoT1ZVd1Lo  82     1           0.81/1    0.83/1
NWoT1ZVd1Lo  102    3           0.80/1    0.83/2
NWoT1ZVd1Lo  112    2           0.83/1    0.77/2
NWoT1ZVd1Lo  132    3           0.71/2    0.84/2
NWoT1ZVd1Lo  162    2           0.79/1    0.75/2
NWoT1ZVd1Lo  172    2           0.77/0    0.80/1
NWoT1ZVd1Lo  182    2           0.71/0    0.76/1
NWoT1ZVd1Lo  192    2           0.74/1    0.83/0
NWoT1ZVd1Lo  222    2           0.82/1    0.81/2
NWoT1ZVd1Lo  232    1           0.69/0    0.70/1
NWoT1ZVd1Lo  242    2           0.77/2    0.85/2
NWoT1ZVd1Lo  252    3           0.88/2    0.76/2
NWoT1ZVd1Lo  272    1           0.51/0    0.27/0
NWoT1ZVd1Lo  292    2           0.85/1    0.77/2
NWoT1ZVd1Lo  302    2           0.75/1    0.72/2
NWoT1ZVd1Lo  312    2           0.79/2    0.77/2
NWoT1ZVd1Lo  322    2           0.79/2    0.79/1
NWoT1ZVd1Lo  332    2           0.73/2    0.78/2
NWoT1ZVd1Lo  342    1           0.66/1    0.79/1
NWoT1ZVd1Lo  352    2           0.82/2    0.85/2
NWoT1ZVd1Lo  362    3           0.77/2    0.77/2
NWoT1ZVd1Lo  372    2           0.60/0    0.69/1
NWoT1ZVd1Lo  382    2           0.70/1    0.73/1
NWoT1ZVd1Lo  392    3           0.80/2    0.84/2
NWoT1ZVd1Lo  402    3           0.82/1    0.84/1
NWoT1ZVd1Lo  412    3           0.78/1    0.79/1
NWoT1ZVd1Lo  422    2           0.76/1    0.70/0
NWoT1ZVd1Lo  452    3           0.85/0    0.71/2
NWoT1ZVd1Lo  462    2           0.78/2    0.85/1
NWoT1ZVd1Lo  472    2           0.65/0    0.74/0
NWoT1ZVd1Lo  482    2           0.76/1    0.78/2
NWoT1ZVd1Lo  492    2           0.77/1    0.79/1
NWoT1ZVd1Lo  502    3           0.75/0    0.72/2
NWoT1ZVd1Lo  512    2           0.71/0    0.76/2
NWoT1ZVd1Lo  522    2           0.80/0    0.85/1
NWoT1ZVd1Lo  532    2           0.76/0    0.77/2
NWoT1ZVd1Lo  542    1           0.24/0    0.17/0
NWoT1ZVd1Lo  552    2           0.83/0    0.73/2
NWoT1ZVd1Lo  562    1           0.26/0    0.45/0
NWoT1ZVd1Lo  572    1           0.81/0    0.85/0
NWoT1ZVd1Lo  582    2           0.65/0    0.78/2
NWoT1ZVd1Lo  602    2           0.74/1    0.79/0
NWoT1ZVd1Lo  612    1           0.23/0    0.31/0
NWoT1ZVd1Lo  622    1           0.17/0    0.29/0
NWoT1ZVd1Lo  632    2           0.65/0    0.61/0
H14bBuluwB8  2      1           0.33/0    0.41/0
H14bBuluwB8  22     1           0.63/0    0.85/1
H14bBuluwB8  32     1           0.83/1    0.73/2
H14bBuluwB8  42     1           0.69/1    0.78/1
H14bBuluwB8  52     1           0.87/1    0.86/1
H14bBuluwB8  62     1           0.85/1    0.85/1
H14bBuluwB8  72     1           0.84/1    0.81/2
H14bBuluwB8  82     1           0.79/1    0.78/2
H14bBuluwB8  92     1           0.82/1    0.89/1
H14bBuluwB8  102    1           0.51/0    0.59/0
H14bBuluwB8  112    1           0.49/0    0.69/0
H14bBuluwB8  122    1           0.79/0    0.91/1
H14bBuluwB8  132    1           0.71/0    0.72/0
H14bBuluwB8  142    1           0.79/1    0.85/1
H14bBuluwB8  152    1           0.67/1    0.70/0
H14bBuluwB8  162    2           0.74/0    0.66/0
H14bBuluwB8  182    1           0.86/1    0.83/1
H14bBuluwB8  192    1           0.84/1    0.80/1
H14bBuluwB8  202    1           0.77/1    0.88/1
H14bBuluwB8  222    1           0.80/2    0.71/2
H14bBuluwB8  232    4           0.64/0    0.76/2
H14bBuluwB8  242    3           0.57/0    0.64/1
H14bBuluwB8  252    1           0.81/1    0.81/1
H14bBuluwB8  262    1           0.84/1    0.89/1
H14bBuluwB8  272    1           0.87/1    0.89/1
H14bBuluwB8  282    1           0.81/0    0.78/1
H14bBuluwB8  292    1           0.87/1    0.82/1
H14bBuluwB8  302    1           0.28/0    0.25/0
H14bBuluwB8  312    1           0.87/1    0.74/2
H14bBuluwB8  322    1           0.74/1    0.72/2
H14bBuluwB8  342    1           0.74/1    0.72/1
H14bBuluwB8  352    1           0.84/1    0.82/1
H14bBuluwB8  362    1           0.81/1    0.83/1
z86LGEFyQpo  2      3           0.83/4    0.86/4
z86LGEFyQpo  22     1           0.86/1    0.73/1
z86LGEFyQpo  42     1           0.84/1    0.84/1
z86LGEFyQpo  62     1           0.81/1    0.77/1
z86LGEFyQpo  82     1           0.83/1    0.85/1
z86LGEFyQpo  102    1           0.81/1    0.85/1
z86LGEFyQpo  122    4           0.80/2    0.84/3
z86LGEFyQpo  142    1           0.82/1    0.75/1
z86LGEFyQpo  162    1           0.82/1    0.78/1
z86LGEFyQpo  182    3           0.83/3    0.88/3
z86LGEFyQpo  202    1           0.86/1    0.82/1
z86LGEFyQpo  222    1           0.89/1    0.88/1
z86LGEFyQpo  242    1           0.88/1    0.84/1
z86LGEFyQpo  262    4           0.84/4    0.86/3
z86LGEFyQpo  282    1           0.87/1    0.84/1
z86LGEFyQpo  302    1           0.91/1    0.88/1
z86LGEFyQpo  322    1           0.90/1    0.89/1
z86LGEFyQpo  342    1           0.91/1    0.88/1
z86LGEFyQpo  362    1           0.90/1    0.88/1
z86LGEFyQpo  382    1           0.90/1    0.91/1
z86LGEFyQpo  402    1           0.90/1    0.83/1
z86LGEFyQpo  422    1           0.84/1    0.85/1
z86LGEFyQpo  442    1           0.87/1    0.86/1
z86LGEFyQpo  462    1           0.92/1    0.86/1
z86LGEFyQpo  482    1           0.88/1    0.86/1
z86LGEFyQpo  502    1           0.85/1    0.88/1
z86LGEFyQpo  522    1           0.87/1    0.81/1
z86LGEFyQpo  542    3           0.84/3    0.85/3
z86LGEFyQpo  562    1           0.76/0    0.76/1
z86LGEFyQpo  582    1           0.77/1    0.92/1
z86LGEFyQpo  602    1           0.79/1    0.77/1
z86LGEFyQpo  622    4           0.78/4    0.84/3
z86LGEFyQpo  642    1           0.72/0    0.78/1
z86LGEFyQpo  662    1           0.78/1    0.70/1
z86LGEFyQpo  682    4           0.80/4    0.84/3
z86LGEFyQpo  702    1           0.88/1    0.87/1
z86LGEFyQpo  722    1           0.82/1    0.87/1
z86LGEFyQpo  742    1           0.88/1    0.87/1
z86LGEFyQpo  762    1           0.90/1    0.83/1
z86LGEFyQpo  782    1           0.80/1    0.84/1
z86LGEFyQpo  802    1           0.86/1    0.83/1
z86LGEFyQpo  822    1           0.89/1    0.80/1
z86LGEFyQpo  842    1           0.87/1    0.84/1
z86LGEFyQpo  862    5           0.79/4    0.84/3
z86LGEFyQpo  882    1           0.87/1    0.81/1
z86LGEFyQpo  902    3           0.89/4    0.83/3
z86LGEFyQpo  922    1           0.91/1    0.86/1
z86LGEFyQpo  942    1           0.91/1    0.86/1
z86LGEFyQpo  962    1           0.84/1    0.89/1
z86LGEFyQpo  982    1           0.88/1    0.87/1
z86LGEFyQpo  1002   1           0.92/1    0.89/1
z86LGEFyQpo  1022   1           0.63/1    0.90/1
Ary1gIbaOTc  2      1           0.82/1    0.81/1
Ary1gIbaOTc  82     1           0.88/1    0.86/1
Ary1gIbaOTc  182    2           0.81/0    0.80/2
Ary1gIbaOTc  262    2           0.84/2    0.85/2
Ary1gIbaOTc  342    1           0.84/1    0.86/1
Ary1gIbaOTc  422    1           0.84/0    0.92/1
Ary1gIbaOTc  502    1           0.83/0    0.91/1
Ary1gIbaOTc  582    2           0.84/2    0.85/2
Ary1gIbaOTc  662    1           0.87/0    0.86/1
Ary1gIbaOTc  742    1           0.78/0    0.90/1
Ary1gIbaOTc  822    1           0.83/0    0.86/1
Ary1gIbaOTc  902    1           0.82/1    0.90/1
Ary1gIbaOTc  982    1           0.87/1    0.88/1
Ary1gIbaOTc  1062   1           0.84/1    0.84/1
Ary1gIbaOTc  1142   2           0.78/2    0.78/2
Ary1gIbaOTc  1222   1           0.85/0    0.91/1
Ary1gIbaOTc  1302   2           0.85/2    0.87/2
Ary1gIbaOTc  1382   1           0.83/0    0.88/1
Ary1gIbaOTc  1462   1           0.84/1    0.85/1
Ary1gIbaOTc  1542   1           0.83/1    0.89/1
Ary1gIbaOTc  1622   1           0.85/1    0.87/1
Ary1gIbaOTc  1702   2           0.80/2    0.81/2
Ary1gIbaOTc  1782   1           0.72/1    0.89/1
Ary1gIbaOTc  1862   2           0.76/2    0.81/2
Ary1gIbaOTc  1942   2           0.82/1    0.82/1
Ary1gIbaOTc  2022   2           0.78/2    0.84/2
Ary1gIbaOTc  2102   1           0.80/1    0.91/1
Ary1gIbaOTc  2182   1           0.87/1    0.84/1
Ary1gIbaOTc  2262   3           0.80/2    0.83/2
Ary1gIbaOTc  2342   2           0.78/1    0.83/2
Ary1gIbaOTc  2422   1           0.79/1    0.76/1
Ary1gIbaOTc  2502   2           0.85/2    0.80/2
Ary1gIbaOTc  2582   2           0.83/2    0.89/2
Ary1gIbaOTc  2662   1           0.80/1    0.83/1
Ary1gIbaOTc  2742   1           0.83/1    0.83/1
Ary1gIbaOTc  2822   1           0.84/1    0.85/1
Ary1gIbaOTc  2902   1           0.76/1    0.82/1
Ary1gIbaOTc  2982   1           0.84/1    0.80/1
Ary1gIbaOTc  3062   2           0.84/2    0.83/2
Ary1gIbaOTc  3142   1           0.90/1    0.84/1
Ary1gIbaOTc  3222   1           0.85/1    0.92/1
Ary1gIbaOTc  3302   1           0.86/1    0.82/1
Ary1gIbaOTc  3382   1           0.86/1    0.82/1
Ary1gIbaOTc  3462   1           0.85/1    0.81/1
Ary1gIbaOTc  3542   2           0.86/1    0.82/1
Ary1gIbaOTc  3622   2           0.88/1    0.87/2
Ary1gIbaOTc  3702   1           0.79/1    0.93/1
Ary1gIbaOTc  3782   1           0.85/1    0.86/1
Ary1gIbaOTc  3862   1           0.72/0    0.75/1
Ary1gIbaOTc  3942   2           0.78/1    0.85/2
Ary1gIbaOTc  4022   2           0.87/1    0.81/2
Ary1gIbaOTc  4102   1           0.84/1    0.84/1
RcGyVTAoXEU  2      1           0.39/0    0.38/0
RcGyVTAoXEU  42     1           0.84/1    0.84/1
RcGyVTAoXEU  52     2           0.89/1    0.88/1
RcGyVTAoXEU  62     1           0.83/1    0.84/1
RcGyVTAoXEU  72     1           0.55/0    0.65/1
RcGyVTAoXEU  82     2           0.75/1    0.77/1
RcGyVTAoXEU  92     3           0.35/0    0.55/0
RcGyVTAoXEU  102    2           0.87/1    0.82/1
RcGyVTAoXEU  112    1           0.86/1    0.84/1
RcGyVTAoXEU  122    3           0.80/1    0.87/1
RcGyVTAoXEU  132    2           0.70/1    0.73/1
RcGyVTAoXEU  142    1           0.88/1    0.82/1
RcGyVTAoXEU  152    2           0.48/0    0.71/1
RcGyVTAoXEU  162    1           0.80/1    0.87/1
RcGyVTAoXEU  182    1           0.83/1    0.86/1
RcGyVTAoXEU  192    1           0.67/0    0.72/0
RcGyVTAoXEU  202    1           0.82/1    0.89/1
RcGyVTAoXEU  212    1           0.76/1    0.66/1
RcGyVTAoXEU  222    2           0.87/1    0.89/1
RcGyVTAoXEU  232    2           0.82/1    0.82/1
RcGyVTAoXEU  242    1           0.81/1    0.82/1
RcGyVTAoXEU  252    1           0.80/1    0.83/1
RcGyVTAoXEU  272    20          0.41/0    0.43/0
RcGyVTAoXEU  302    1           0.80/1    0.90/1
RcGyVTAoXEU  312    1           0.86/1    0.86/1
RcGyVTAoXEU  322    1           0.60/0    0.59/0
RcGyVTAoXEU  332    1           0.60/0    0.73/1
RcGyVTAoXEU  342    1           0.18/0    0.29/0
RcGyVTAoXEU  352    1           0.61/0    0.75/1
RcGyVTAoXEU  362    1           0.14/0    0.24/0
RcGyVTAoXEU  372    1           0.92/1    0.87/1
RcGyVTAoXEU  382    1           0.24/0    0.27/0
RcGyVTAoXEU  392    2           0.52/0    0.44/0
RcGyVTAoXEU  402    1           0.84/1    0.73/1
RcGyVTAoXEU  412    1           0.62/0    0.65/0
RcGyVTAoXEU  422    1           0.55/0    0.63/1
RcGyVTAoXEU  432    1           0.88/1    0.89/1
RcGyVTAoXEU  442    1           0.90/1    0.90/1
RcGyVTAoXEU  452    2           0.76/1    0.74/1
RcGyVTAoXEU  462    1           0.61/0    0.74/0
RcGyVTAoXEU  472    1           0.63/0    0.71/0
RcGyVTAoXEU  482    1           0.33/0    0.55/0
RcGyVTAoXEU  492    1           0.81/1    0.83/1
RcGyVTAoXEU  502    1           0.75/1    0.89/1
RcGyVTAoXEU  522    1           0.90/1    0.82/1
RcGyVTAoXEU  532    1           0.50/0    0.59/0
RcGyVTAoXEU  542    1           0.41/0    0.57/0
RcGyVTAoXEU  552    2           0.85/1    0.84/1
RcGyVTAoXEU  562    1           0.64/0    0.63/1
RcGyVTAoXEU  572    1           0.79/0    0.67/1
RcGyVTAoXEU  582    1           0.86/1    0.86/1
RcGyVTAoXEU  592    1           0.79/1    0.78/1

arm          maxKp p50   maxKp max   persons admitted (score>=0.35)
squash           0.810       0.922                 219
letterbox        0.825       0.934                 269

cell = maxKeypoint/personsAdmitted.  PFF_FRAME_KP_FLOOR is 0.10;
his phone reads maxKp p50 0.049 max 0.098 in the failing regime.
