
============================
Hi, looks like you are running TensorFlow.js in Node.js. To speed things up dramatically, install our node backend, visit https://github.com/tensorflow/tfjs-node for more details. 
============================
frames requested 225   640x360  ar 1.778
pad: 256x144 at (0,56) in 256  -- bars 56px top and bottom

video           t     squash  letterbox
NWoT1ZVd1Lo        2       1          1
NWoT1ZVd1Lo       12       2          2
NWoT1ZVd1Lo       22       1          1
NWoT1ZVd1Lo       32       2          2
NWoT1ZVd1Lo       52       0          0
NWoT1ZVd1Lo       62       3          2
NWoT1ZVd1Lo       72       0          0
NWoT1ZVd1Lo       82       1          1
NWoT1ZVd1Lo      102       2          3
NWoT1ZVd1Lo      112       3          2
NWoT1ZVd1Lo      132       2          2
NWoT1ZVd1Lo      162       2          2
NWoT1ZVd1Lo      172       2          2
NWoT1ZVd1Lo      182       4          3
NWoT1ZVd1Lo      192       2          2
NWoT1ZVd1Lo      222       2          3
NWoT1ZVd1Lo      232       1          1
NWoT1ZVd1Lo      242       2          2
NWoT1ZVd1Lo      252       2          2
NWoT1ZVd1Lo      272       0          0
NWoT1ZVd1Lo      292       2          2
NWoT1ZVd1Lo      302       2          2
NWoT1ZVd1Lo      312       2          2
NWoT1ZVd1Lo      322       3          2
NWoT1ZVd1Lo      332       3          2
NWoT1ZVd1Lo      342       1          1
NWoT1ZVd1Lo      352       2          2
NWoT1ZVd1Lo      362       2          2
NWoT1ZVd1Lo      372       0          1
NWoT1ZVd1Lo      382       2          2
NWoT1ZVd1Lo      392       2          2
NWoT1ZVd1Lo      402       2          2
NWoT1ZVd1Lo      412       3          3
NWoT1ZVd1Lo      422       2          2
NWoT1ZVd1Lo      452       2          2
NWoT1ZVd1Lo      462       4          2
NWoT1ZVd1Lo      472       2          2
NWoT1ZVd1Lo      482       3          2
NWoT1ZVd1Lo      492       1          2
NWoT1ZVd1Lo      502       2          3
NWoT1ZVd1Lo      512       2          2
NWoT1ZVd1Lo      522       4          2
NWoT1ZVd1Lo      532       2          2
NWoT1ZVd1Lo      542       0          0
NWoT1ZVd1Lo      552       4          2
NWoT1ZVd1Lo      562       0          0
NWoT1ZVd1Lo      572       2          2
NWoT1ZVd1Lo      582       2          2
H14bBuluwB8        2       1          1
H14bBuluwB8       22       1          1
H14bBuluwB8       32       4          5
H14bBuluwB8       42       2          1
H14bBuluwB8       52       2          1
H14bBuluwB8       62       1          1
H14bBuluwB8       72       2          3
H14bBuluwB8       82       4          6
H14bBuluwB8       92       2          1
H14bBuluwB8      102       5          5
H14bBuluwB8      112       6          6
H14bBuluwB8      122       1          2
H14bBuluwB8      132       4          6
H14bBuluwB8      142       2          5
H14bBuluwB8      152       2          4
H14bBuluwB8      162       2          5
H14bBuluwB8      182       1          2
H14bBuluwB8      192       2          1
H14bBuluwB8      202       1          2
H14bBuluwB8      222       3          4
H14bBuluwB8      232       3          5
H14bBuluwB8      242       4          5
H14bBuluwB8      252       3          2
H14bBuluwB8      262       3          1
H14bBuluwB8      272       3          1
H14bBuluwB8      282       0          1
H14bBuluwB8      292       1          1
H14bBuluwB8      302       1          0
H14bBuluwB8      312       4          5
H14bBuluwB8      322       4          3
H14bBuluwB8      342       1          1
H14bBuluwB8      352       1          1
H14bBuluwB8      362       2          1
z86LGEFyQpo        2       4          4
